Marke,ParentSKU,ProductName,Revenue_total,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Cut,MCP_Surface,MCP_Features,MCP_Gender,MCP_resolved
uhlsport,U0155,Uhlsport Eliminator Supergrip Handschuh,88.52,Uhlsport Eliminator Supergrip RC,configurable,uhlsport,"blue, green","Blau, Grün",uhlsport Eliminator,Außennaht (RC),Trocken,,,true
HO Soccer,HO0520482,HO Soccer Pro Evolution II NG Blackout,88.26,HO Soccer Pro Evolution II NG Blackout,configurable,HO SOCCER,black,Schwarz,,Innennaht (NC),,,,true
reusch,R3870959-236,Reusch Prisma Pro G3 Evolution TW-Hands,88.02,Reusch Prisma Pro G3 Evolution,configurable,REUSCH,"yellow, black","Gelb, Schwarz",Reusch Prisma,Innennaht (NC),Trocken,,Herren,true
Sells Goalkeeper,WA-5,SELLS Wrap UJ,87.88,SELLS Wrap UJ,configurable,SELLS,"red, white","Rot, Weiß",Sells Wrap,Rollfinger (GC),Trocken,,,true
reusch,R5099351-7083,Reusch Fusion Evo OT W Szczesny,87.62,,,,,,,,,,,true
reusch,R3970239-883,reusch Fit Control S1 Evolution,87.4,reusch Fit Control S1 Evolution,configurable,REUSCH,,,reusch Fit Control,Außennaht (RC),Trocken,,,true
uhlsport,ETS1011068_001,Uhlsport Supersoft SF TW-Handschuh Schw,87.33,uhlsport Supersoft SF,configurable,uhlsport,"yellow, black","Gelb, Schwarz",,Außennaht (RC),,,Herren,true
uhlsport,ETS1011173_001,Uhlsport Pure Alliance Starter TW-Hands,87.29,Uhlsport Pure Alliance Starter,configurable,uhlsport,"yellow, white","Gelb, Weiß",,,,"Atmungsaktivität, Bequem, Haltbarkeit",Herren,true
New Balance,NB00056,New Balance Furon Damage GC,86.8,NB00056,configurable,new balance,green,Grün,,Rollfinger (GC),Nässe / Regen,,,true
reusch,R5270139-6006,Attrakt Gold Evolution Cut,86.8,Attrakt Gold Evolution Cut,configurable,REUSCH,"blue, grey","Blau, Grau",,,,,,true
uhlsport,ETS1011127_01,Uhlsport Radar Control Starter Soft Han,86.38,Uhlsport Radar Control Starter Soft,configurable,uhlsport,"yellow, blue","Gelb, Blau",,Außennaht (RC),,"Atmungsaktivität, Dämpfung, Grip, Größere Ballkontaktfläche, Ballkontrolle, Haltbarkeit, Elastizität, Starter Soft",Herren,true
reusch,ETS5070978_4959,Reusch G3 Speed Bump Evolution TW-Hands,85.2,Reusch G3 Speed Bump Evolution,configurable,REUSCH,"blue, orange","Blau, Orange",,"Innennaht (NC), Außennaht (RC)",,"Bequem, Dämpfung, Grip, Individuelle Passform, Ballkontrolle, Haltbarkeit, Leicht, 3D Thumb Crotch, ESS, Rolled Thumb, AirVentSystem",Herren,true
uhlsport,ETS1011118_01,Uhlsport Radar Control Supergrip HN Han,85.02,,,,,,,,,,,true
uhlsport,ETS1000163_01,Uhlsport Eliminator Absolutgrip Handsch,84.35,Uhlsport Eliminator Absolutgrip,configurable,uhlsport,"red, black","Rot, Schwarz",,Außennaht (RC),,,Herren,true
reusch,R5099352-7083,Reusch Fusion Evo OT Szczesny,84.11,,,,,,,,,,,true
Sells Goalkeeper,SGP1414,Sells Wrap Elite Aqua,83.96,Sells Wrap Elite Aqua,configurable,SELLS,white,Weiß,Sells Wrap,Rollfinger (GC),Nässe / Regen,,,true
HO Soccer,HO510724,HO SOCCER SSG Supremo Roll-Negative,83.51,HO SOCCER SSG Supremo Roll-Negative,configurable,HO SOCCER,green,Grün,HO SOCCER Supremo,Hybrid (Mix),Trocken,,,true
uhlsport,ETS1011161_001,Uhlsport Starter Resist Torwarthandschu,83.23,uhlsport Starter Resist,configurable,uhlsport,"black, orange","Schwarz, Orange",,Außennaht (RC),,"Atmungsaktivität, Bequem, Dämpfung, Grip, Halt, Schweißableitend",Herren,true
reusch,R3470902-233,reusch Waorani Pro G2 Bundesliga LTD,83.22,reusch Waorani Pro G2 Bundesliga LTD,configurable,REUSCH,,,,,,,,true
HO Soccer,HO51116308,HO SOCCER SSG Supremo II NC (yellow),82.54,HO SOCCER SSG Supremo II NC (yellow),configurable,HO SOCCER,yellow,Gelb,,Innennaht (NC),Trocken,,,true
uhlsport,ETS1000134_01,Uhlsport Eliminator Soft SF,82.33,Uhlsport Eliminator Soft SF,configurable,uhlsport,"red, white","Rot, Weiß",,Außennaht (RC),,,Herren,true
uhlsport,U1060-02,Uhlsport Aerored S SF TW-Handschuh Kids,82.29,uhlsport Aerored Soft SF Jun.,configurable,uhlsport,red,Rot,,Außennaht (RC),Trocken,,,true
uhlsport,U1050-02,Uhlsport Aerored SG Reflex TW-Handschuh,81.93,Uhlsport Aerored SG Reflex,configurable,uhlsport,"red, grey","Rot, Grau",,Innennaht (NC),Trocken,"Dämpfung, Grip, Schutz, Supergrip",Herren,true
reusch,ETS5170000_2001,Reusch Pure Contact SpeedBump TW-Handsc,81.93,Reusch Pure Contact SpeedBump,configurable,REUSCH,"yellow, blue","Gelb, Blau",Reusch Pure Contact,Innennaht (NC),Trocken,"Bequem, Halt, Leicht",Herren,true
Puma,ETS041471_021,PUMA ONE Grip 1 GC Torwarthandschuh Sch,81.22,PUMA ONE Grip 1 GC,configurable,PUMA,"black, blue","Schwarz, Blau",,,,"Bequem, Grip, Ballkontrolle, Haltbarkeit, Schutz",Herren,true
reusch,R5099353-2199,Reusch Freegel Fusion Evo OT Szczesny,81.02,,,,,,,,,,,true
adidas,ETSGH1745_000,adidas Predator Precision to Blur Pro P,80.29,adidas Predator Precision to Blur Pro Promo PC,configurable,adidas,"black, green","Schwarz, Grün",,Innennaht (NC),Normaler Rasen,"Atmungsaktivität, Bequem, Grip, Individuelle Passform, Ballkontrolle, Haltbarkeit",Herren,true
reusch,R3770330-601,Reusch Futsal Pro SFX,78.89,Reusch Futsal Pro SFX,configurable,REUSCH,,,,,Kunstrasen / Halle / Bolzplatz,,,true
One Glove,NXT-PRO-CONTRA-W-NGT,NXT Pro Contra White NGT,78.74,NXT Pro Contra White NGT,configurable,One Glove,white,Weiß,,Innennaht (NC),Normaler Rasen,Finger Protection,,true
reusch,R3870239-296,Reusch Prisma Prime S1 Evolution TW-Han,78.69,Reusch Prisma Prime S1 Evolution,configurable,REUSCH,"blue, orange","Blau, Orange",Reusch Prisma,"Innennaht (NC), Rollfinger (GC)",Trocken,,Herren,true
uhlsport,U0174-02,Uhlsport Eliminator Soft HN Comp TW-Han,78.66,Uhlsport Eliminator Soft HN Comp TW-Han,configurable,uhlsport,"red, black","Rot, Schwarz",,Innennaht (NC),,,,true
Puma,ETS041703_001,PUMA ULTRA Protect 3 RC Torwarthandschu,78.5,PUMA ULTRA Protect 3 RC,configurable,PUMA,"white, orange","Weiß, Orange",,,,"Bequem, Dämpfung, Schutz","Herren, Damen",true
