Marke_Code,Marke,ParentSKU,ProductName,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2,quarters_json
115,adidas,10276761_IQ4021_000,adidas Predator Pro Hybrid TW-Handschuh,11ts_direct,10276761,528,38833.09,0,0.0,0,0.0,526,38700.37,2,132.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,894.53,218,17251.75,263,18386.89,36,2167.2,2,132.72,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,"{""2024-Q1"":{""u"":9,""r"":894.53},""2024-Q2"":{""u"":218,""r"":17251.75},""2024-Q3"":{""u"":263,""r"":18386.89},""2024-Q4"":{""u"":36,""r"":2167.2},""2025-Q1"":{""u"":2,""r"":132.72}}"
122,KEEPERsport,KS10031-630,KEEPERsport 25years Varan8 Hero Power T,dash_pattern,KS10031-630,637,38724.15,0,0.0,0,0.0,0,0.0,562,34080.14,75,4644.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,108,5865.88,232,15396.05,222,12818.21,69,4313.47,6,330.54,"{""2025-Q2"":{""u"":108,""r"":5865.88},""2025-Q3"":{""u"":232,""r"":15396.05},""2025-Q4"":{""u"":222,""r"":12818.21},""2026-Q1"":{""u"":69,""r"":4313.47},""2026-Q2"":{""u"":6,""r"":330.54}}"
115,adidas,10328194_JH3815_JH3815,adidas Predator Pro Hybrid Celestial Vi,11ts_direct,10328194,497,37915.57,0,0.0,0,0.0,0,0.0,495,37761.1,2,154.47,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,16,1455.25,316,24572.26,159,11432.58,4,301.01,2,154.47,0,0.0,"{""2025-Q1"":{""u"":16,""r"":1455.25},""2025-Q2"":{""u"":316,""r"":24572.26},""2025-Q3"":{""u"":159,""r"":11432.58},""2025-Q4"":{""u"":4,""r"":301.01},""2026-Q1"":{""u"":2,""r"":154.47}}"
122,KEEPERsport,KS10024-471,KEEPERsport Varan7 Champ GC TW-Handschu,dash_pattern,KS10024-471,919,37887.94,0,0.0,422,19367.22,494,18417.01,3,103.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35,1425.75,190,9161.1,197,8780.37,119,4990.83,213,7807.22,156,5439.38,6,179.58,2,66.21,0,0.0,1,37.5,0,0.0,0,0.0,0,0.0,"{""2023-Q2"":{""u"":35,""r"":1425.75},""2023-Q3"":{""u"":190,""r"":9161.1},""2023-Q4"":{""u"":197,""r"":8780.37},""2024-Q1"":{""u"":119,""r"":4990.83},""2024-Q2"":{""u"":213,""r"":7807.22},""2024-Q3"":{""u"":156,""r"":5439.38},""2024-Q4"":{""u"":6,""r"":179.58},""2025-Q1"":{""u"":2,""r"":66.21},""2025-Q3"":{""u"":1,""r"":37.5}}"
136,uhlsport,10267325_1011314_001,Uhlsport Aquasoft HN,11ts_direct,10267325,907,37849.19,0,0.0,12,906.2,107,5888.34,651,26112.27,137,4942.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,12,906.2,11,765.12,5,349.87,55,2930.04,36,1843.31,176,7676.24,59,2527.4,178,7458.77,238,8449.86,128,4600.82,9,341.56,"{""2023-Q4"":{""u"":12,""r"":906.2},""2024-Q1"":{""u"":11,""r"":765.12},""2024-Q2"":{""u"":5,""r"":349.87},""2024-Q3"":{""u"":55,""r"":2930.04},""2024-Q4"":{""u"":36,""r"":1843.31},""2025-Q1"":{""u"":176,""r"":7676.24},""2025-Q2"":{""u"":59,""r"":2527.4},""2025-Q3"":{""u"":178,""r"":7458.77},""2025-Q4"":{""u"":238,""r"":8449.86},""2026-Q1"":{""u"":128,""r"":4600.82},""2026-Q2"":{""u"":9,""r"":341.56}}"
115,adidas,10349968_JJ3532_000,adidas Predator Pro Torwarthandschuhe R,11ts_direct,10349968,554,37702.21,0,0.0,0,0.0,0,0.0,322,22862.75,232,14839.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,80,6094.67,242,16768.08,223,14261.78,9,577.68,"{""2025-Q3"":{""u"":80,""r"":6094.67},""2025-Q4"":{""u"":242,""r"":16768.08},""2026-Q1"":{""u"":223,""r"":14261.78},""2026-Q2"":{""u"":9,""r"":577.68}}"
136,uhlsport,10196026_1011216_001,Uhlsport Comfort Absolutgrip TW-Handsch,11ts_direct,10196026,845,37159.2,245,12142.76,322,14602.61,271,10157.79,7,256.04,0,0.0,40,2054.84,29,1414.65,106,5242.13,70,3431.14,34,1764.98,32,1639.02,61,3027.87,195,8170.74,139,5734.62,104,3394.76,25,913.11,3,115.3,3,120.36,0,0.0,1,40.12,3,95.56,0,0.0,0,0.0,"{""2022-Q1"":{""u"":40,""r"":2054.84},""2022-Q2"":{""u"":29,""r"":1414.65},""2022-Q3"":{""u"":106,""r"":5242.13},""2022-Q4"":{""u"":70,""r"":3431.14},""2023-Q1"":{""u"":34,""r"":1764.98},""2023-Q2"":{""u"":32,""r"":1639.02},""2023-Q3"":{""u"":61,""r"":3027.87},""2023-Q4"":{""u"":195,""r"":8170.74},""2024-Q1"":{""u"":139,""r"":5734.62},""2024-Q2"":{""u"":104,""r"":3394.76},""2024-Q3"":{""u"":25,""r"":913.11},""2024-Q4"":{""u"":3,""r"":115.3},""2025-Q1"":{""u"":3,""r"":120.36},""2025-Q3"":{""u"":1,""r"":40.12},""2025-Q4"":{""u"":3,""r"":95.56}}"
122,KEEPERsport,KS10023-471,KEEPERsport Varan7 Champ Power TW-Hands,dash_pattern,KS10023-471,1065,36476.47,0,0.0,442,13897.05,532,19119.08,86,3273.63,5,186.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,158,5080.1,168,5053.56,116,3763.39,96,4058.14,181,6422.58,210,7231.27,45,1407.09,21,785.71,9,359.73,51,1939.24,5,188.95,5,186.71,0,0.0,"{""2023-Q2"":{""u"":158,""r"":5080.1},""2023-Q3"":{""u"":168,""r"":5053.56},""2023-Q4"":{""u"":116,""r"":3763.39},""2024-Q1"":{""u"":96,""r"":4058.14},""2024-Q2"":{""u"":181,""r"":6422.58},""2024-Q3"":{""u"":210,""r"":7231.27},""2024-Q4"":{""u"":45,""r"":1407.09},""2025-Q1"":{""u"":21,""r"":785.71},""2025-Q2"":{""u"":9,""r"":359.73},""2025-Q3"":{""u"":51,""r"":1939.24},""2025-Q4"":{""u"":5,""r"":188.95},""2026-Q1"":{""u"":5,""r"":186.71}}"
136,uhlsport,10292792_1011331_001,uhlsport Prediction Flex HN TW-Handschu,11ts_direct,10292792,575,36193.88,0,0.0,0,0.0,57,5001.92,407,24777.18,111,6414.78,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,104.39,40,3582.36,16,1315.17,18,1575.32,18,1247.75,51,3191.51,320,18762.6,97,5615.04,14,799.74,"{""2024-Q2"":{""u"":1,""r"":104.39},""2024-Q3"":{""u"":40,""r"":3582.36},""2024-Q4"":{""u"":16,""r"":1315.17},""2025-Q1"":{""u"":18,""r"":1575.32},""2025-Q2"":{""u"":18,""r"":1247.75},""2025-Q3"":{""u"":51,""r"":3191.51},""2025-Q4"":{""u"":320,""r"":18762.6},""2026-Q1"":{""u"":97,""r"":5615.04},""2026-Q2"":{""u"":14,""r"":799.74}}"
115,adidas,10228600_HC0619_000,adidas Predator Competition NC Game Dat,11ts_direct,10228600,678,36158.23,308,18790.71,363,17076.96,6,255.8,1,34.76,0,0.0,0,0.0,0,0.0,165,10681.03,143,8109.68,214,10320.68,128,5783.14,11,514.66,10,458.48,6,255.8,0,0.0,0,0.0,0,0.0,0,0.0,1,34.76,0,0.0,0,0.0,0,0.0,0,0.0,"{""2022-Q3"":{""u"":165,""r"":10681.03},""2022-Q4"":{""u"":143,""r"":8109.68},""2023-Q1"":{""u"":214,""r"":10320.68},""2023-Q2"":{""u"":128,""r"":5783.14},""2023-Q3"":{""u"":11,""r"":514.66},""2023-Q4"":{""u"":10,""r"":458.48},""2024-Q1"":{""u"":6,""r"":255.8},""2025-Q2"":{""u"":1,""r"":34.76}}"
