Marke_Code,Marke,ParentSKU,ProductName,Basisfarbe,Highlight_1,Highlight_2,Farbbezeichnung_Hersteller,Collection,Cut,Material,Technologien,Color_confidence,Resolution_source,Resolution_detail,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
136,uhlsport,10271815_10113070120230_001,uhlsport Powerline Horizon Absolutgrip+,white,blue,yellow,weiß/marine/fluo gelb,1011307012023,Hybrid,"64% Elastodien, 25% Polyester, 7% Nylon",Atmungsaktivität;Bequem;Dämpfung;Halt;Haltbarkeit;Leicht;Schutz,high,11ts_iteminfo,10271815,637,44676.82,0,0.0,217,17519.34,416,26936.47,4,221.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,77,6610.72,140,10908.62,215,15183.61,181,10491.22,17,1081.36,3,180.28,2,124.57,0,0.0,2,96.44,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS10023-066,KEEPERsport Varan7 Champ Power TW-Hands,white,red,,,KEEPERsport Varan,Hybrid (Mix),,,high,ks_katalog,FC=066,1071,44273.15,604,24693.09,438,18268.77,18,822.33,7,373.66,4,115.3,0,0.0,0,0.0,280,11742.85,324,12950.24,180,6744.35,54,2316.2,140,6528.66,64,2679.56,9,425.8,1,44.26,7,315.38,1,36.89,1,37.53,1,42.01,5,294.12,0,0.0,4,115.3,0,0.0
122,KEEPERsport,KS10051-804,KEEPERsport Varan8 Champ Power Demon To,white,black,green,Demon,KEEPERsport Varan,"Innennaht (NC), Hybrid (Mix)",,,high,ks_katalog,FC=804,1077,44234.0,0,0.0,0,0.0,542,21644.07,533,22480.14,2,109.79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,75,1744.88,294,13365.24,173,6533.95,189,7906.89,198,7850.87,138,6341.2,8,381.18,2,109.79,0,0.0
122,KEEPERsport,KS10030-423,KEEPERsport Varan8 Hero NC Torwarthands,blue,,,,KEEPERsport Varan,Innennaht (NC),,,high,ks_katalog,FC=423,833,43934.14,0,0.0,0,0.0,651,34830.44,182,9103.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,95,5356.64,172,8949.01,182,10476.31,202,10048.48,83,4328.48,71,3445.62,27,1299.6,1,30.0,0,0.0,0,0.0
130,reusch,10199461_5270985_6006,Reusch Attrakt Fusion Guardian Torwarth,grey,yellow,blue,vapor gray/safety yellow/deep blue,5270985,Breit,"83% Elastodien, 13% Polyester, 4% Polyamid",Ballkontrolle;Bequem;Elastizität;Grip;Leicht;Schutz,high,11ts_iteminfo,10199461,658,43517.26,239,17869.93,318,19993.0,60,3500.4,38,1999.37,3,154.56,46,3753.82,20,1607.46,44,3709.38,129,8799.27,127,8221.39,60,3648.34,91,5613.21,40,2510.06,19,1161.21,5,306.53,13,779.84,23,1252.82,14,736.04,4,223.19,18,930.46,2,109.68,3,154.56,0,0.0
115,adidas,10351476_JJ3531_JJ3531,adidas Predator Pro Torwarthandschuhe S,black,grey,,black/carbon/luclem,KRS25,Innennaht,"91% Polyester, 8% Elastodien, 1% Nylon",Bequem;Dämpfung;Grip;Schutz,high,11ts_iteminfo,10351476,638,43335.47,0,0.0,0,0.0,0,0.0,414,29359.81,224,13975.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,139,10831.86,275,18527.95,208,12917.58,16,1058.08
122,KEEPERsport,KS10025-905,KEEPERsport Varan7 Pro NC TW-Handschuhe,black,black,,schwarz/schwarz,KEEPERsport Varan,Innennaht (NC),,,high,stammdaten,FC=905,1220,43251.76,0,0.0,364,13453.16,848,29502.77,8,295.83,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,364,13453.16,643,22097.36,136,4559.21,42,1779.75,27,1066.45,7,257.39,1,38.44,0,0.0,0,0.0,0,0.0,0,0.0
136,uhlsport,10292799_1011356_001,uhlsport Prediction Absolutgrip HN Fit,blue,yellow,white,blue,1011356,Innennaht,"81% Elastodien, 13% Polyester, 6% Nylon",Atmungsaktivität;Ballkontrolle;Bequem;Haltbarkeit,high,11ts_iteminfo,10292799,827,42409.65,0,0.0,0,0.0,84,5583.14,732,36295.92,11,530.59,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,81.15,43,3049.24,40,2452.75,48,3190.33,140,7061.3,407,19361.01,137,6683.28,10,480.21,1,50.38
115,adidas,10299352_IS7587_000,adidas Predator Pro Torwarthandschuhe A,blue,red,,lucblu/solarred/white,JSX57,Innennaht,"89% Polyester, 11% Elastodien",Ballkontrolle;Bequem;Dämpfung;Grip;Halt;Leicht;Schutz,high,11ts_iteminfo,10299352,599,42311.66,0,0.0,0,0.0,478,34591.94,120,7660.74,1,58.98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,678.06,246,18455.88,225,15458.0,72,4715.64,38,2300.43,7,440.81,3,203.86,0,0.0,1,58.98
115,adidas,10230088_HN6823_000,adidas Predator Pro HYB Torwarthandschu,white,white,blue,white/white/brcyan,V6270,,"91% Polyester, 8% Elastodien, 1% Nylon",Bequem;Grip;Haltbarkeit,high,11ts_iteminfo,10230088,499,41940.27,376,32269.67,122,9601.48,1,69.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,376,32269.67,110,8898.06,12,703.42,0,0.0,0,0.0,0,0.0,1,69.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
