ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
P000009-REC,reusch,reusch re:ceptor green (Andujar SMU),,,,,medium,mcp,66.0,NO_COLOR
ETSGS3884_100,NIKE,Nike Vapor Grip 3 Torwarthandschuh Weis,,,,,medium,mcp,65.0,NO_COLOR
HO510676,HO Soccer,HO SOCCER SSG Supremo Kontakt Evolution,,,,Hybrid,medium,mcp,65.0,NO_COLOR
U0171-02,uhlsport,Uhlsport Eliminator Soft Support #177,,,,,medium,mcp,64.0,NO_COLOR
KS333-015,KEEPERsport,KEEPERsport GK-Glove Varan5 Pro NC Aqua,015,black,green,Negative Cut,high,mcp_ks,61.0,MCP_KS_VERIFY
ETS3870959_236,reusch,Reusch Prisma Pro G3 Evolution TW-Hands,,,,,medium,mcp,59.0,NO_COLOR
SGP1438,Sells Goalkeeper,Sells Axis 360 Pro Aqua,,,,,medium,mcp,55.0,NO_COLOR
ETS1011074_001,uhlsport,Uhlsport Absolutgrip TW-Handschuh Blau,,,,,medium,mcp,53.0,NO_COLOR
ETS5070005_4949,reusch,Reusch G3 Duo TW-Handschuh Blau F4949,,,,,medium,mcp,53.0,NO_COLOR
ETS1011011_01,uhlsport,Uhlsport Eliminator Unlimited AG HN Han,,,,,medium,mcp,51.0,NO_COLOR
HO510672,HO Soccer,HO SOCCER Supremo Pro Negative Pink,,,,Negative Cut,medium,mcp,46.0,NO_COLOR
P041226-32,Puma,Puma evoPOWER Grip 3.3 RC,,,,,medium,mcp,45.0,NO_COLOR
ETS041440_022,Puma,PUMA One Protect 18.2 RC Handschuh Schw,,,,,medium,mcp,45.0,NO_COLOR
ETS510662_000,HO Soccer,HO Soccer Supremo Pro TW-Handschuh Schw,,,,,medium,mcp,44.0,NO_COLOR
R5070935-1100,reusch,reusch Attrakt Freegel G3,,,,,medium,mcp,43.0,NO_COLOR
KSP10002,KEEPERsport,KEEPERsport Varan6 Pro Promo,,,,,medium,mcp,41.0,NO_COLOR
HO510708,HO Soccer,HO SOCCER SSG Supremo Roll Negative,,,,Hybrid,medium,mcp,38.0,NO_COLOR
ETS1011054_001,uhlsport,Uhlsport Tensiongreen Absolutgrip FS Ha,,,,,medium,mcp,33.0,NO_COLOR
R3770320-484,reusch,Reusch Futsal SG SFX,,,,,medium,mcp,31.0,NO_COLOR
KS333-615,KEEPERsport,KEEPERsport GK-Glove Varan5 Pro NC Aqua,615,blue,,Negative Cut,high,mcp_ks,31.0,MCP_KS_VERIFY
KS0KSU0598-01,uhlsport,Uhlsport Eliminator Supergraphit RC,,,,,medium,mcp,30.0,NO_COLOR
KSP10070,KEEPERsport,KEEPERsport Varan8 Pro NC Promo,,,,,medium,mcp,28.0,NO_COLOR
ETS1011099_001,uhlsport,Uhlsport Soft HN Comp TW-Handschuh Schw,,,,,medium,mcp,26.0,NO_COLOR
ETS1011103_001,uhlsport,Uhlsport Next Level Soft SF TW-Handschu,,,,,medium,mcp,26.0,NO_COLOR
U0153-01,uhlsport,Uhlsport Eliminator Supersoft GC,,,,,medium,mcp,25.0,NO_COLOR
ETS1011126_01,uhlsport,Uhlsport Radar Control Soft Pro Handsch,,,,,medium,mcp,23.0,NO_COLOR
ETS5072263_2199,reusch,Reusch Attrakt Freegel S1 Junior Kids L,,,,,medium,mcp,23.0,NO_COLOR
KSX10003-111,KEEPERsport,KEEPERsport Varan6 Pro NC (Belag),111,white,,,high,mcp_ks,23.0,MCP_KS_VERIFY
TEA2X0Z04930,Erreà,Erreà Space Hybrid,,,,,medium,mcp,20.0,NO_COLOR
HO510678,HO Soccer,HO SOCCER Supremo Clone Negative Pink,,,,Negative Cut,medium,mcp,20.0,NO_COLOR
ETSFH7295_000,adidas,adidas Predator TRN TW-Handschuh Schwar,,,,,medium,mcp,16.0,NO_COLOR
ETS1011060_001,uhlsport,Uhlsport Tensiongreen S SF TW-Handschuh,,,,,medium,mcp,16.0,NO_COLOR
ETSFJ5989_000,adidas,adidas Predator TRN TW-Handschuh Weiss,,,,,medium,mcp,14.0,NO_COLOR
U0368-01,uhlsport,Uhlsport Ergonomic Soft RF,,,,,medium,mcp,11.0,NO_COLOR
KSP10071,KEEPERsport,KEEPERsport Varan8 Pro GC Promo,,,,,medium,mcp,0.0,NO_COLOR
