ParentSKU,Marke,MCP_Basisfarbe,Desc_Basisfarbe,Desc_colors,Revenue,Status
RH1006-558,rehab,black,,,2975.61,no_color_in_text
U1118-03,uhlsport,yellow,,,2931.02,no_color_in_text
U1011344-01,uhlsport,red,,,2924.27,no_color_in_text
ETS3770990_484,reusch,,,,2886.14,no_description
10295815_7222404_000,erima,yellow,,,2855.07,no_color_in_text
ETS5172200_2199,reusch,yellow,,,2850.1,no_color_in_text
R5170935-3002,reusch,red,,,2848.68,no_color_in_text
RH1006-006,rehab,yellow,,,2830.77,no_color_in_text
R5399453-1101,reusch,,,,2811.78,no_description
HO0515170IT,HO Soccer,yellow,,,2799.41,no_color_in_text
HO0515169IT,HO Soccer,yellow,,,2796.52,no_description
OG1-MONSTER-SL,One Glove,green,,,2792.29,no_color_in_text
HO520298,HO Soccer,blue,,,2759.24,no_color_in_text
E7222002,erima,black,,,2752.22,no_color_in_text
EL4003910,Elite Sport,,,,2751.58,no_color_in_text
E7222003,erima,yellow,,,2745.13,no_color_in_text
OG1-DOUBT-SL,One Glove,red,,,2723.01,no_color_in_text
SGP151626,Sells Goalkeeper,black,,,2672.89,no_color_in_text
EL4003260,Elite Sport,white,,,2634.65,no_color_in_text
R3370101-103,reusch,,,,2608.64,no_description
ETS1011188_01,uhlsport,yellow,,,2605.43,no_color_in_text
NGS3381-892,NIKE,orange,,,2599.47,no_color_in_text
10295813_7222403_000,erima,red,,,2594.5,no_color_in_text
HO515023,HO Soccer,black,,,2586.4,no_description
R5670735-7700,reusch,black,,,2579.97,no_color_in_text
RH1000-999,rehab,red,black,black,2570.06,found
ETS3670100_767,reusch,black,,,2566.15,no_description
10271335_520250_000,HO Soccer,black,,,2562.55,no_color_in_text
10288753_5472710_4411,reusch,blue,,,2555.74,no_description
U1144,uhlsport,yellow,,,2545.57,no_color_in_text
NXT-PRO-DOUBT-HYL,One Glove,red,,,2522.62,no_color_in_text
EL4003970,Elite Sport,white,,,2513.97,no_color_in_text
U1175-02,uhlsport,black,,,2510.85,no_color_in_text
RH1006-039,rehab,white,,,2507.82,no_description
10369683_KA7811_KA7811,adidas,black,,,2477.12,no_color_in_text
10291666_5460964,reusch,black,,,2475.03,no_color_in_text
U1091,uhlsport,red,,,2462.28,no_color_in_text
ETS5170109_1100,reusch,white,white,white,2455.49,found
ETS1011168_01,uhlsport,yellow,,,2450.25,no_color_in_text
ETS1011167_01,uhlsport,yellow,,,2449.05,no_color_in_text
RH1006-386,rehab,white,,,2433.96,no_description
KS10021,KEEPERsport,,,,2398.2,no_description
U1011309012001,uhlsport,black,,,2374.95,no_description
EL2000070,Elite Sport,black,,,2370.43,no_description
R5670235-1080,reusch,white,,,2363.12,no_color_in_text
RH1006-044,rehab,white,blue,blue/white/red,2359.63,found
R3770130-511,reusch,,,,2341.08,no_description
RPB70102207,gloveglu,blue,,,2322.15,no_description
ETS5170050-4949,reusch,yellow,,,2301.86,no_color_in_text
U1159,uhlsport,black,,,2293.21,no_color_in_text
RH1006-031,rehab,white,,,2286.16,no_description
U1076,uhlsport,black,,,2269.88,no_color_in_text
RH1002-628,rehab,white,,,2261.73,no_color_in_text
U1153,uhlsport,red,,,2253.47,no_color_in_text
U1152,uhlsport,blue,,,2253.35,no_color_in_text
OG1-DOUBT-NGT,One Glove,red,,,2242.19,no_color_in_text
10332411_042071_01,Puma,white,,,2230.4,no_color_in_text
ETS5170960_3002,reusch,red,,,2210.66,no_color_in_text
RH1006-032,rehab,red,black,black/yellow/red,2203.52,found
NXT-PRO-DOUBT-VTX,One Glove,red,,,2167.58,no_color_in_text
R5070025-7083,reusch,black,,,2159.14,no_color_in_text
10297352_FB3001-013_013,NIKE,black,,,2157.44,no_color_in_text
10351299_042117_01,Puma,pink,,,2127.22,no_color_in_text
SGP151703,Sells Goalkeeper,black,,,2102.94,no_color_in_text
ETS5070955_7083,reusch,black,,,2072.35,no_description
10271331_0515116IT_000,HO Soccer,yellow,,,2064.36,no_color_in_text
HO520302,HO Soccer,black,,,2064.17,no_color_in_text
HO510813,HO Soccer,green,blue,blue/yellow,2034.82,found
HO0520366,HO Soccer,white,,,2031.88,no_color_in_text
R3570201-445,reusch,,,,2024.43,no_description
U1096,uhlsport,red,,,2024.38,no_color_in_text
NGS3884-100,NIKE,white,white,white,2024.38,found
HO511246UK,HO Soccer,red,,,1999.56,no_description
R5670984-4126,reusch,blue,,,1993.72,no_color_in_text
HO520306,HO Soccer,black,,,1992.92,no_color_in_text
10295817_7222405_000,erima,yellow,,,1967.47,no_color_in_text
U1011285_001,uhlsport,yellow,,,1955.4,no_color_in_text
10271458_520279_000,HO Soccer,yellow,,,1942.16,no_color_in_text
RH1000-559,rehab,red,green,green,1940.3,found
U1011382K-001,uhlsport,white,,,1932.51,no_color_in_text
EL4002530,Elite Sport,black,,,1929.76,no_color_in_text
HO511281IT1,HO Soccer,black,,,1911.7,no_description
R5070235-7083,reusch,black,,,1911.0,no_color_in_text
ETS1011169_01,uhlsport,yellow,,,1909.53,no_color_in_text
P042114-01,Puma,black,,,1883.91,no_color_in_text
OG1-CONTRA-W-HYL-SL,One Glove,white,,,1879.15,no_color_in_text
HO0520465,HO Soccer,black,,,1861.48,no_color_in_text
HO510876IT,HO Soccer,white,,,1845.2,no_color_in_text
ETSCW5801_440,NIKE,blue,,,1842.74,no_color_in_text
R5670235-4129,reusch,blue,,,1826.21,no_color_in_text
ADY2619,adidas,yellow,,,1824.28,no_color_in_text
ETS3770950_484,reusch,yellow,,,1808.0,no_description
R3470101-344,reusch,,,,1788.71,no_description
NXT-PRO-MONSTER-HYL,One Glove,white,,,1785.17,no_color_in_text
HO520307,HO Soccer,yellow,,,1783.59,no_color_in_text
10243348_RPB70102206_000,gloveglu,black,,,1780.88,no_description
10322232_5572135_2500,reusch,blue,,,1779.02,no_color_in_text
10332412_042072_01,Puma,white,,,1774.34,no_color_in_text
RH1006-420,rehab,red,,,1769.75,no_description
U1058-02,uhlsport,red,,,1737.26,no_color_in_text
10268070_RPB70062301_000,gloveglu,black,,,1728.9,no_color_in_text
EL4004030,Elite Sport,pink,,,1728.83,no_color_in_text
NCK4804-492,NIKE,blue,,,1690.9,no_color_in_text
10180249_5170990_7040_7040_7701,reusch,black,,,1680.57,no_description
MP0004-REUSCH,reusch,,,,1675.72,no_description
R5070000-4959,reusch,blue,,,1665.73,no_color_in_text
EL4004570,Elite Sport,white,,,1663.42,no_color_in_text
EL2000470,Elite Sport,black,,,1660.94,no_description
