Marke,ParentSKU,ProductName,Revenue_total,Kategorie_Code,Kategorie,MCP_Name,MCP_Type,MCP_Brand,MCP_Color_keys,MCP_Color_labels,MCP_Collection,MCP_Gender,MCP_Sleeve_length,MCP_Pants_cut,MCP_Padding,MCP_Fit,MCP_Leg_type,MCP_Neckline,MCP_Feature_textile,MCP_Mesh_inset,MCP_Extra,MCP_resolved
KEEPERsport,KS60011-999,KEEPERsport Torwart Unterziehhose PP Sc,28406.6,1005,Torwart Unterziehhosen,KEEPERsport Goalkeeper Underpants PP,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,long,"with-padding, hip, knee",,,,"breathability, comfortable, protection, cushioning",,drawstring,true
KEEPERsport,KS60022-011,KEEPERsport Unterziehhose PP 3/4  F011,28284.58,1005,Torwart Unterziehhosen,KEEPERsport Underpants PowerPadded 3/4,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
rehab,RH6004-201,Rehab GK Underwear Shorts Schwarz,26915.65,1002,Torwarthosen,rehab GK Undershorts,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,"Herren, Damen",,short,hip,,,,,,,true
KEEPERsport,KS60024-991,KEEPERsport Unterziehshirt Unpadded LS,25798.05,1004,Torwart Unterziehshirts,,,,,,,,,,,,,,,,,false
KEEPERsport,KS30013-407,KEEPERsport Challenge GK-Pants  3/4,25038.07,1002,Torwarthosen,KEEPERsport Challenge GK-Pants  3/4,configurable,KEEPERsport,"black, blue","Schwarz, Blau",KEEPERsport BasicPadded,Herren,,three-quarter,"hip, knee",,cuffs,,"breathability, comfortable, sweat-management, durability, cushioning",,drawstring,true
KEEPERsport,KS60061-907,KEEPERsport Underpants BasicPadded,23137.3,1005,Torwart Unterziehhosen,KEEPERsport Underpants BasicPadded,configurable,KEEPERsport,"black, green","Schwarz, Grün",KEEPERsport BasicPadded,,,long,"hip, knee",,,,,,,true
KEEPERsport,KS60028-991,KEEPERsport Unterziehose Unpadded Schwa,20609.67,1005,Torwart Unterziehhosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60060-901,KEEPERsport Underpants AntiAbrasion,18809.42,1005,Torwart Unterziehhosen,KEEPERsport Underpants AntiAbrasion,configurable,KEEPERsport,,,KEEPERsport UnPadded,,,long,,,,,,,,true
rehab,RH6006K-201,Rehab GK Underwear Tight Kids Schwarz,18192.11,1002,Torwarthosen,rehab GK Underpants Junior,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,,,long,"hip, knee",,,,,,,true
rehab,RH2001-004,Rehab Goalkeeper Pants (anthracite),17888.84,1002,Torwarthosen,rehab GK Pants,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,,,long,"hip, knee",,,,,,,true
rehab,RH3002-004,rehab GK Pants 3/4 (anthracite),17658.71,1002,Torwarthosen,rehab GK Pants 3/4 (anthracite),configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,,,three-quarter,"hip, knee",,,,,,,true
KEEPERsport,KS60018-633,KEEPERsport Unterziehhose PP Hero F633,17468.22,1002,Torwarthosen,KEEPERsport Underpants PowerPadded Hero,configurable,KEEPERsport,black,Schwarz,,,,,,,,,,,,true
KEEPERsport,KS60029-991,KEEPERsport Unterziehose Basicpadded Sc,17123.94,1002,Torwarthosen,,,,,,,,,,,,,,,,,false
KEEPERsport,KS60042K-906,KEEPERsport Undershirt PowerPadded Kids,16891.03,1004,Torwart Unterziehshirts,KEEPERsport Undershirt PowerPadded Kids,configurable,KEEPERsport,black,Schwarz,KEEPERsport PowerPadded,,long-sleeve,,"elbow, shoulder",tight,,round-neck,,,,true
KEEPERsport,KS60051-907,KEEPERsport Undershorts BasicPadded,15886.67,1005,Torwart Unterziehhosen,KEEPERsport Undershorts BasicPadded,configurable,KEEPERsport,"black, green","Schwarz, Grün",KEEPERsport BasicPadded,,,short,hip,,,,,,,true
rehab,RH6003K-201,Rehab GK Underwear Shirt Kids Schwarz,15534.48,1004,Torwart Unterziehshirts,rehab GK Undershirt Junior,configurable,rehab goalkeeping,"yellow, black","Gelb, Schwarz",,,,long,elbow,,,,,,,true
rehab,RH3000-999,Rehab Torwarthose 3/4 Pant Schwarz F999,15481.69,1002,Torwarthosen,Rehab GK-Pants 3/4,configurable,rehab goalkeeping,black,Schwarz,,Herren,,three-quarter,"with-padding, hip, knee",,tight,,"breathability, comfortable, sweat-management, protection",,drawstring,true
uhlsport,U5637-02,Uhlsport Bionikframe Longtight Black Edi,15247.16,1005,Torwart Unterziehhosen,Uhlsport Bionikframe Longtight Black Edition,configurable,uhlsport,black,Schwarz,,,,long,hip,,,,,,,true
KEEPERsport,KS60003-999,KEEPERsport Torwart Unterziehshirt PP L,14843.47,1004,Torwart Unterziehshirts,KEEPERsport Goalkeeper Undershirt PP LS,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,long-sleeve,long,"with-padding, elbow",,,,"breathability, comfortable, sweat-management",,,true
reusch,R5117800-7700,reusch COMPRESSION SHORT 3/4 FEMUR,14698.88,1005,Torwart Unterziehhosen,reusch COMPRESSION SHORT 3/4 FEMUR,configurable,REUSCH,black,Schwarz,,,,,,,,,,,,true
uhlsport,U5617,uhlsport Standard GK-Pants,13993.39,1002,Torwarthosen,uhlsport Standard GK-Pants,configurable,uhlsport,black,Schwarz,,Herren,,long,"hip, knee",normal,tight,,"individual-fit, protection, durability",,drawstring,true
uhlsport,U5618,uhlsport Anatomic GK-Pants,13329.05,1002,Torwarthosen,uhlsport Anatomic GK-Pants,configurable,uhlsport,black,Schwarz,,Herren,,long,"hip, knee",,tight,,"comfortable, protection",,,true
KEEPERsport,KS30003-999,KEEPERsport Training 3/4 Torwarthose BP,13195.94,1002,Torwarthosen,KEEPERsport Training 3/4 GK-Pants BP,configurable,KEEPERsport,"black, white","Schwarz, Weiß",,Herren,,three-quarter,"with-padding, hip, knee",,,,"breathability, comfortable, individual-fit, lightweight, sweat-management, durability, cushioning",,drawstring,true
KEEPERsport,KS70007-907,KEEPERsport Torwarttrikot Grün,13150.64,1009,Torwartset,KEEPERsport GK-Shirt Set l/s,configurable,KEEPERsport,"black, green","Schwarz, Grün",,"Herren, Damen",long-sleeve,three-quarter,"elbow, hip, knee",,tight,round-neck,"breathability, comfortable, lightweight, sweat-management, durability",laterally,drawstring,true
