Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS611-032,KEEPERsport GK Set Panther Promo,1009,Torwartset,dash_pattern,KS611-032,16,303.3,8,161.38,2,32.7,2,34.14,4,75.08,0,0.0,3,54.75,0,0.0,0,0.0,5,106.63,2,32.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,34.14,3,56.83,0,0.0,1,18.25,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS613-615,KEEPERsport GK Set Eagle s/s (blue),1009,Torwartset,dash_pattern,KS613-615,9,247.91,1,33.67,3,88.1,0,0.0,4,104.09,1,22.05,0,0.0,0,0.0,1,33.67,0,0.0,0,0.0,0,0.0,1,30.72,2,57.38,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,81.14,1,22.95,0,0.0,1,22.05,0,0.0
121,HO Soccer,HO506044-16,HO SOCCER Covenant ElbowPad (lime),1009,Torwartset,legacy,,10,245.14,5,127.32,4,101.47,0,0.0,1,16.35,0,0.0,0,0.0,0,0.0,5,127.32,0,0.0,1,23.84,1,25.03,2,52.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,16.35,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS613-023,KEEPERsport GK Set GuKra4 Camo,1009,Torwartset,dash_pattern,KS613-023,6,220.54,1,46.12,2,81.88,3,92.54,0,0.0,0,0.0,1,46.12,0,0.0,0,0.0,0,0.0,2,81.88,0,0.0,0,0.0,0,0.0,1,40.94,0,0.0,0,0.0,2,51.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,HO Soccer,HO506044-03,HO SOCCER Covenant ElbowPad (blue),1009,Torwartset,legacy,,10,219.21,4,90.05,5,105.32,1,23.84,0,0.0,0,0.0,0,0.0,2,46.87,1,24.55,1,18.63,1,23.77,1,23.84,1,24.55,2,33.16,0,0.0,0,0.0,1,23.84,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS613-032,KEEPERsport GK Set GuKra4 l/s,1009,Torwartset,dash_pattern,KS613-032,5,184.63,2,82.3,2,79.38,0,0.0,1,22.95,0,0.0,0,0.0,0,0.0,2,82.3,0,0.0,0,0.0,0,0.0,0,0.0,2,79.38,0,0.0,0,0.0,0,0.0,0,0.0,1,22.95,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,HO Soccer,HO50-5038-21,HO Soccer completo portiere (fucsia),1009,Torwartset,legacy,,10,153.97,10,153.97,0,0.0,0,0.0,0,0.0,0,0.0,2,30.48,2,31.84,4,56.44,2,35.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS01KS613-2,KEEPERsport GK Set GuKra3 s/s Festive,1009,Torwartset,dash_pattern,KS01KS613-2,5,97.26,1,24.55,3,54.75,1,17.96,0,0.0,0,0.0,0,0.0,1,24.55,0,0.0,0,0.0,0,0.0,0,0.0,2,38.4,1,16.35,1,17.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS611-304,KEEPERsport GK Set Panther Promo,1009,Torwartset,dash_pattern,KS611-304,5,87.63,3,52.86,0,0.0,1,18.42,1,16.35,0,0.0,3,52.86,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,18.42,0,0.0,0,0.0,0,0.0,1,16.35,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,HO Soccer,HO50-5032J,HO Soccer Set Portiere Junior,1009,Torwartset,legacy,,3,85.99,0,0.0,1,36.89,2,49.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,36.89,0,0.0,0,0.0,0,0.0,2,49.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS613-304,KEEPERsport GK Set GuKra4 s/s,1009,Torwartset,dash_pattern,KS613-304,2,81.88,1,40.94,1,40.94,0,0.0,0,0.0,0,0.0,0,0.0,1,40.94,0,0.0,0,0.0,0,0.0,1,40.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,HO Soccer,HO50_5032_8430,HO Soccer Set One (blue),1009,Torwartset,legacy,,8,69.66,0,0.0,0,0.0,8,69.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,16.58,6,53.08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS01KS419,KEEPERsport GK Set KEEPERnator 3/4,1009,Torwartset,legacy,,2,68.78,1,34.39,1,34.39,0,0.0,0,0.0,0,0.0,1,34.39,0,0.0,0,0.0,0,0.0,0,0.0,1,34.39,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121,HO Soccer,HO0505807,HO Soccer Overall Kevlar,1009,Torwartset,legacy,,2,44.1,0,0.0,0,0.0,0,0.0,0,0.0,2,44.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,44.1,0,0.0
