Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,ItemID,Producer,ProducerArticleNumber,Variant,Herstellermodell,Marketingperiode,LaunchDate,ArticleGroup,CanonicalCategoryId,Color1,Color2,Color3,HerstellerFarbbezeichnung,Active,SapMaterialNumber,Produktgruppe,Produktart,Serie,Aermellaenge,Textillaenge,Passform,Ausschnitt,Material_1,Material_1_pct,Material_2,Material_2_pct,Mesh_Einsaetze,Extras,Technologien
adidas,10276042_IN0434_000,adidas Tiro 24 Competition Torwarttriko,1001,Torwarttrikots,10276042,adidas,IN0434,Adi_T_KID,KMC67,222211,2024-02-06,103070,65,blau,,,seblbu,true,IN0434,Torhüter,Langarm-Trikots,Tiro,Langarm,Lang,normal,V-Ausschnitt,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit;Leicht;Schutz;Schweißableitend;Wärmend;AEROREADY
adidas,10276043_IN0435_000,adidas Tiro 24 Pro Tight Torwarthose Sc,1002,Torwarthosen,10276043,adidas,IN0435,Adi_T_US,IKM08,222211,2024-02-27,103071,66,schwarz,,,black,true,IN0435,Torhüter,Torhüter - Hosen,,,Lang,,,Polyester,86,Elasthan,14,,,AEROREADY;Atmungsaktivität;Bequem;Haltbarkeit;Schweißableitend
adidas,10276047_IN0437_000,adidas Tiro 24 Pro Tight Torwarthose Ro,1002,Torwarthosen,10276047,adidas,IN0437,Adi_T_US,IKM08,222211,2024-08-29,103071,66,rot,,,red,true,IN0437,Torhüter,Tights,Tiro,,Lang,kompression,,Polyester,86,Elasthan,14,,Kordelzug,AEROREADY;Atmungsaktivität;Bequem;Haltbarkeit;Schweißableitend
adidas,10276049_IN0440_000,adidas Tiro 24 Pro Tight Torwarthose Bl,1002,Torwarthosen,10276049,adidas,IN0440,Adi_T_US,IKM08,222211,2024-02-01,103071,66,blau,,,seblbu,true,IN0440,Torhüter,Torhüter - Hosen,,,Lang,,,Polyester,86,Elasthan,14,,,AEROREADY;Atmungsaktivität;Bequem;Haltbarkeit;Schweißableitend
adidas,10276051_IN0441_000,adidas Tiro 24 Pro Torwartshort Kids Sc,1002,Torwarthosen,10276051,adidas,IN0441,Adi_T_KID,KMC66,222211,2024-03-20,103071,67,schwarz,,,black,true,IN0441,,Torhüter - Hosen,Tiro,,,normal,,Polyester,100,,,,,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10276052_IN0442_000,adidas Tiro 24 Pro Torwartshort Kids Li,1002,Torwarthosen,10276052,adidas,IN0442,Adi_T_KID,KMC66,222211,2024-03-15,103071,67,lila,,,purple,true,IN0442,,Torhüter - Hosen,Tiro,,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10276053_IN0443_000,adidas Tiro 24 Pro Torwartshort Kids Ro,1002,Torwarthosen,10276053,adidas,IN0443,Adi_T_KID,KMC66,222211,2024-03-18,103071,67,rot,,,red,true,IN0443,,Torhüter - Hosen,Tiro,,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10276054_IN0446_000,adidas Tiro 24 Pro Torwartshort Kids Bl,1002,Torwarthosen,10276054,adidas,IN0446,Adi_T_KID,KMC66,222211,2024-03-20,103071,67,blau,,,seblbu,true,IN0446,,Torhüter - Hosen,Tiro,,,normal,,Polyester,100,,,,Kordelzug,Atmungsaktivität;Bequem;Haltbarkeit;AEROREADY
adidas,10276055_IN0447_000,adidas Tiro 24 Pro Torwartshort Schwarz,1002,Torwarthosen,10276055,adidas,IN0447,Adi_T_US,IFC28,222211,2024-02-14,103071,66,schwarz,,,black,true,IN0447,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Leicht;Schweißableitend
adidas,10276057_IN0448_000,adidas Tiro 24 Pro Torwartshort Lila,1002,Torwarthosen,10276057,adidas,IN0448,Adi_T_US,IFC28,222211,2024-02-13,103071,67,lila,,,purple,true,IN0448,Torhüter,Torhüter - Hosen,Tiro,,Kurz,schmal,,Polyester,100,,,allgemein,,Atmungsaktivität;Bequem;Leicht;Schweißableitend
