Marke_Code,Marke,ParentSKU,ProductName,Kategorie_Code,Kategorie,Resolution_hint,Extracted_ID,Units_total,Revenue_total,Units_2022,Revenue_2022,Units_2023,Revenue_2023,Units_2024,Revenue_2024,Units_2025,Revenue_2025,Units_2026,Revenue_2026,Units_2022-Q1,Revenue_2022-Q1,Units_2022-Q2,Revenue_2022-Q2,Units_2022-Q3,Revenue_2022-Q3,Units_2022-Q4,Revenue_2022-Q4,Units_2023-Q1,Revenue_2023-Q1,Units_2023-Q2,Revenue_2023-Q2,Units_2023-Q3,Revenue_2023-Q3,Units_2023-Q4,Revenue_2023-Q4,Units_2024-Q1,Revenue_2024-Q1,Units_2024-Q2,Revenue_2024-Q2,Units_2024-Q3,Revenue_2024-Q3,Units_2024-Q4,Revenue_2024-Q4,Units_2025-Q1,Revenue_2025-Q1,Units_2025-Q2,Revenue_2025-Q2,Units_2025-Q3,Revenue_2025-Q3,Units_2025-Q4,Revenue_2025-Q4,Units_2026-Q1,Revenue_2026-Q1,Units_2026-Q2,Revenue_2026-Q2
122,KEEPERsport,KS60035-407,KEEPERsport Challenge Unterziehshirt Sc,1004,Torwart Unterziehshirts,dash_pattern,KS60035-407,1740,41282.41,176,4035.59,357,8610.72,968,22593.47,239,6042.63,0,0.0,0,0.0,0,0.0,23,603.26,153,3432.33,63,1606.01,28,697.1,75,1975.08,191,4332.53,144,3406.54,163,3841.8,333,7896.31,328,7448.82,173,4338.86,51,1310.8,15,392.97,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS60007-999,KEEPERsport Torwart Unterziehshort PP S,1005,Torwart Unterziehhosen,dash_pattern,KS60007-999,1139,40755.34,693,24910.85,436,15617.39,6,158.2,4,68.9,0,0.0,184,6849.21,79,2815.2,226,7828.26,204,7418.18,79,3143.88,85,3126.88,240,8399.23,32,947.4,5,147.41,1,10.79,0,0.0,0,0.0,1,14.21,3,54.69,0,0.0,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS60042-906,KEEPERsport Undershirt PowerPadded,1004,Torwart Unterziehshirts,dash_pattern,KS60042-906,979,40078.65,0,0.0,0,0.0,0,0.0,723,29273.71,256,10804.94,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,586.38,300,14016.78,406,14670.55,238,10112.92,18,692.02
122,KEEPERsport,KS60015-116,KEEPERsport Underpants PowerPadded 3/4,1005,Torwart Unterziehhosen,dash_pattern,KS60015-116,930,37907.54,633,25586.21,278,11682.54,11,419.79,8,219.0,0,0.0,135,5605.87,95,3730.13,262,10378.49,141,5871.72,49,2235.97,57,2285.67,148,6246.9,24,914.0,1,30.25,2,77.73,2,57.27,6,254.54,4,118.86,0,0.0,4,100.14,0,0.0,0,0.0,0,0.0
139,Erreà,TB335,Errea Cayman,1005,Torwart Unterziehhosen,legacy,,682,36859.75,241,11551.63,129,7277.55,148,8509.77,150,8693.39,14,827.41,64,2821.43,33,1503.41,94,4759.99,50,2466.8,30,1574.64,6,316.32,65,3764.45,28,1622.14,28,1649.75,7,406.25,75,4360.57,38,2093.2,25,1466.75,21,1260.39,79,4529.83,25,1436.42,14,827.41,0,0.0
129,rehab,RH6006-999,rehab Goalkeeper Underpants (black),1005,Torwart Unterziehhosen,dash_pattern,RH6006-999,1151,31467.54,333,9984.7,483,13097.4,310,7807.36,25,578.08,0,0.0,76,2300.65,60,1848.59,100,3000.48,97,2834.98,95,2782.22,78,2326.03,106,3148.2,204,4840.95,86,2389.26,49,1255.74,104,2480.24,71,1682.12,8,199.2,3,62.31,14,316.57,0,0.0,0,0.0,0,0.0
129,rehab,RH6003-201,Rehab GK Underwear Shirt Schwarz,1004,Torwart Unterziehshirts,dash_pattern,RH6003-201,1184,29864.77,0,0.0,0,0.0,265,7307.82,783,19427.74,136,3129.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,97,2904.48,168,4403.34,135,3493.47,128,3310.59,121,3398.34,399,9225.34,134,3076.41,2,52.8
129,rehab,RH6004-999,rehab Goalkeeper Undershorts (black),1005,Torwart Unterziehhosen,dash_pattern,RH6004-999,1272,29848.11,354,9373.84,370,9090.42,457,9476.61,91,1907.24,0,0.0,66,1717.2,100,2681.8,150,3985.11,38,989.73,58,1509.31,85,2201.65,126,3084.75,101,2294.71,60,1455.77,61,1312.3,181,3738.6,155,2969.94,81,1706.24,8,160.88,0,0.0,2,40.12,0,0.0,0,0.0
129,rehab,RH6003-999,rehab Goalkeeper Undershirt (black),1004,Torwart Unterziehshirts,dash_pattern,RH6003-999,1270,29019.65,330,8535.46,515,12018.14,416,8277.13,9,188.92,0,0.0,98,2554.75,78,2029.14,106,2773.96,48,1177.61,62,1541.93,74,1946.83,163,3998.51,216,4530.87,89,2158.81,103,2013.4,189,3469.38,35,635.54,5,114.47,3,57.08,1,17.37,0,0.0,0,0.0,0,0.0
122,KEEPERsport,KS60011-999,KEEPERsport Torwart Unterziehhose PP Sc,1005,Torwart Unterziehhosen,dash_pattern,KS60011-999,660,28406.6,475,20196.86,183,8182.25,0,0.0,2,27.49,0,0.0,149,6459.82,30,1228.89,84,3467.78,212,9040.37,91,4137.27,42,1843.5,50,2201.48,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,27.49,0,0.0,0,0.0,0,0.0,0,0.0
